17,7682647;1;;R1-R2;*10^4;10000
17,4686851;365;;-0,0040531;-40,531;
17,4642009;366;;-0,0044842;-44,842;
17,460987;367;;-0,0032139;-32,139;
17,4568805;368;;-0,0041065;-41,065;
17,4528751;369;;-0,0040054;-40,054;
17,4485473;370;;-0,0043278;-43,278;
17,4452133;371;;-0,003334;-33,34;
17,4416217;372;;-0,0035916;-35,916;
17,4385395;373;;-0,0030822;-30,822;
17,4350528;374;;-0,0034867;-34,867;
17,4317378;375;;-0,003315;-33,15;
17,4285259;376;;-0,0032119;-32,119;
17,4258937;377;;-0,0026322;-26,322;
17,4233112;378;;-0,0025825;-25,825;
17,4201049;379;;-0,0032063;-32,063;
17,4176502;380;;-0,0024547;-24,547;
17,415184;381;;-0,0024662;-24,662;
17,4129123;382;;-0,0022717;-22,717;
17,4106674;383;;-0,0022449;-22,449;
17,408039;384;;-0,0026284;-26,284;
17,4063224;385;;-0,0017166;-17,166;
17,4042205;386;;-0,0021019;-21,019;
17,4021797;387;;-0,0020408;-20,408;
17,4002475;388;;-0,0019322;-19,322;
17,3980712;389;;-0,0021763;-21,763;
17,3966541;390;;-0,0014171;-14,171;
17,3944816;391;;-0,0021725;-21,725;
17,3922634;392;;-0,0022182;-22,182;
17,3908824;393;;-0,001381;-13,81;
17,3895263;394;;-0,0013561;-13,561;
17,3880901;395;;-0,0014362;-14,362;
17,3869762;396;;-0,0011139;-11,139;
17,3855018;397;;-0,0014744;-14,744;
17,3841361;398;;-0,0013657;-13,657;
17,3825759;399;;-0,0015602;-15,602;
17,3808479;400;;-0,001728;-17,28;
17,3792839;401;;-0,001564;-15,64;
17,3782863;402;;-0,0009976;-9,976;
17,3775157;403;;-0,0007706;-7,706;
17,3764514;404;;-0,0010643;-10,643;
17,3756809;405;;-0,0007705;-7,705;
17,3745193;406;;-0,0011616;-11,616;
17,3736;407;;-0,0009193;-9,193;
17,3721923;408;;-0,0014077;-14,077;
17,3711795;409;;-0,0010128;-10,128;
17,3710575;410;;-0,000122;-1,22;
17,3700103;411;;-0,0010472;-10,472;
17,3687763;412;;-0,001234;-12,34;
17,3687934;413;;1,71E-05;0,171;
17,3679122;414;;-0,0008812;-8,812;
17,3666076;415;;-0,0013046;-13,046;
17,3662757;416;;-0,0003319;-3,319;
17,3659152;417;;-0,0003605;-3,605;
17,364727;418;;-0,0011882;-11,882;
17,3642692;419;;-0,0004578;-4,578;
17,3636417;420;;-0,0006275;-6,275;
17,3635845;421;;-5,72E-05;-0,572;
17,3629302;422;;-0,0006543;-6,543;
17,3623008;423;;-0,0006294;-6,294;
17,3618927;424;;-0,0004081;-4,081;
17,3606891;425;;-0,0012036;-12,036;
17,3605976;426;;-9,15E-05;-0,915;
17,3597564;427;;-0,0008412;-8,412;
17,359457;428;;-0,0002994;-2,994;
17,3589763;429;;-0,0004807;-4,807;
17,3588256;430;;-0,0001507;-1,507;
17,3586406;431;;-0,000185;-1,85;
17,3582725;432;;-0,0003681;-3,681;
17,3578433;433;;-0,0004292;-4,292;
17,3577232;434;;-0,0001201;-1,201;
17,3573226;435;;-0,0004006;-4,006;
17,3563995;436;;-0,0009231;-9,231;
17,3558979;437;;-0,0005016;-5,016;
17,3561649;438;;0,000267;2,67;
17,3559265;439;;-0,0002384;-2,384;
17,3556919;440;;-0,0002346;-2,346;
17,3553161;441;;-0,0003758;-3,758;
17,3548126;442;;-0,0005035;-5,035;
17,3555221;443;;0,0007095;7,095;
17,3549633;444;;-0,0005588;-5,588;
17,354948;445;;-1,53E-05;-0,153;
17,3536796;446;;-0,0012684;-12,684;
17,3539485;447;;0,0002689;2,689;
17,3544597;448;;0,0005112;5,112;
17,3541774;449;;-0,0002823;-2,823;
17,353733;450;;-0,0004444;-4,444;
17,3534908;451;;-0,0002422;-2,422;
17,3536319;452;;0,0001411;1,411;
17,3532772;453;;-0,0003547;-3,547;
17,3531379;454;;-0,0001393;-1,393;
17,3532733;455;;0,0001354;1,354;
17,3529987;456;;-0,0002746;-2,746;
17,3530731;457;;7,44E-05;0,744;
17,3525199;458;;-0,0005532;-5,532;
17,3522434;459;;-0,0002765;-2,765;
17,3519458;460;;-0,0002976;-2,976;
17,3525028;461;;0,000557;5,57;
17,3522167;462;;-0,0002861;-2,861;
17,3522872;463;;7,05E-05;0,705;
17,3519001;464;;-0,0003871;-3,871;
17,3520088;465;;0,0001087;1,087;
17,3517055;466;;-0,0003033;-3,033;
17,3518428;467;;0,0001373;1,373;
17,3517093;468;;-0,0001335;-1,335;
17,351551;469;;-0,0001583;-1,583;
17,3516597;470;;0,0001087;1,087;
17,3525981;471;;0,0009384;9,384;
17,3520069;472;;-0,0005912;-5,912;
17,3517436;473;;-0,0002633;-2,633;
17,3517818;474;;3,82E-05;0,382;
17,3517436;475;;-3,82E-05;-0,382;
17,3522701;476;;0,0005265;5,265;
17,3527202;477;;0,0004501;4,501;
17,3526058;478;;-0,0001144;-1,144;
17,3518695;479;;-0,0007363;-7,363;
17,3524875;480;;0,000618;6,18;
17,3519821;481;;-0,0005054;-5,054;
17,3520889;482;;0,0001068;1,068;
17,3520774;483;;-1,15E-05;-0,115;
17,352499;484;;0,0004216;4,216;
17,3526058;485;;0,0001068;1,068;
17,352106;486;;-0,0004998;-4,998;
17,3525695;487;;0,0004635;4,635;
17,3523559;488;;-0,0002136;-2,136;
17,3528118;489;;0,0004559;4,559;
17,3523693;490;;-0,0004425;-4,425;
17,3525753;491;;0,000206;2,06;
17,3532047;492;;0,0006294;6,294;
17,3531589;493;;-4,58E-05;-0,458;
17,3523139;494;;-0,000845;-8,45;
17,3525524;495;;0,0002385;2,385;
17,3535537;496;;0,0010013;10,013;
17,3533592;497;;-0,0001945;-1,945;
17,3537368;498;;0,0003776;3,776;
17,3532848;499;;-0,000452;-4,52;
17,3534259;500;;0,0001411;1,411;
17,3527565;501;;-0,0006694;-6,694;
17,3531665;502;;0,00041;4,1;
17,3525238;503;;-0,0006427;-6,427;
17,3536109;504;;0,0010871;10,871;
17,3537349;505;;0,000124;1,24;
17,3541412;506;;0,0004063;4,063;
17,3536376;507;;-0,0005036;-5,036;
